question,answer
Anh chị cho em xin ít review về Toán học ạ. ,"(Tổng hợp từ CTĐT chuẩn - QĐ 3565 ngày 18/10/2023 và CTĐT tài năng - QĐ 3566 ngày 18/10/2023) Ngành Toán học tại Trường ĐHKHTN đào tạo cử nhân có kiến thức chuyên sâu, nền tảng vững chắc về toán học, cùng với khả năng tư duy logic, phân tích và giải quyết vấn đề một cách hệ thống.

    Mục tiêu: Đào tạo nguồn nhân lực chất lượng cao, có khả năng giảng dạy, nghiên cứu và ứng dụng toán học trong nhiều lĩnh vực. Chương trình Tài năng đặc biệt hướng tới đào tạo các nhà nghiên cứu khoa học xuất sắc.
    Kiến thức & Kỹ năng: Sinh viên được trang bị kiến thức cốt lõi về Đại số, Giải tích, Hình học, Tôpô, Xác suất - Thống kê, Giải tích số, Tối ưu hóa...; rèn luyện kỹ năng mô hình hóa, lập luận chặt chẽ, sử dụng công cụ tính toán và phần mềm toán học, kỹ năng ngoại ngữ (Bậc 3 cho hệ Chuẩn, Bậc 4 cho hệ Tài năng).
    Chương trình: Có chương trình Chuẩn (135 tín chỉ) và Tài năng (168 tín chỉ) với các định hướng chuyên sâu về Toán lý thuyết, Toán ứng dụng, Cơ học.
    Cơ hội: Sinh viên tốt nghiệp có thể làm việc tại viện nghiên cứu, các cơ quan quản lý, tài chính, ngân hàng, bảo hiểm, công ty công nghệ (với vai trò phân tích, mô hình hóa), hoặc giảng dạy. Có nền tảng tốt để học tiếp lên các bậc học cao hơn."
"Tiện thể cho em hỏi lun học phí Toán học ạ, em cảm ơn.","Theo Bảng học phí dự kiến tại Mục 1.10, Phần II, Đề án tuyển sinh năm 2024 (kèm theo Quyết định 1616/QĐ-ĐHKHTN ngày 31/5/2024), mức học phí dự kiến cho ngành Toán học (mã QHT01) năm học 2024-2025 là 1.640.000 đồng/tháng. Mức thu này theo quy định của Nghị định 97/2023/NĐ-CP. Học phí mỗi năm có thể thay đổi, hiện tại, nhà trường áp dụng mức tăng học phí 10% mỗi năm."
dạ cho em hỏi là ngành toán tin của trường mình là sau này ra có thể có những công việc như thế nào vậy ạ em cảm ơn rất nhiều,"Theo Mục 4, Phần II, CTĐT chuẩn ngành Toán tin ban hành kèm Quyết định 3567/QĐ-ĐHKHTN ngày 18/10/2023, sinh viên tốt nghiệp ngành Toán tin có thể đảm nhận các vị trí công việc sau:

    Làm việc tại các doanh nghiệp, các bộ phận nghiên cứu và phát triển (R&D), các cơ quan quản lý kinh tế, tài chính có sử dụng kiến thức Toán ứng dụng hoặc Công nghệ thông tin. Các vai trò cụ thể có thể là: Lập trình viên, Chuyên gia phân tích dữ liệu, Chuyên gia thống kê, Chuyên gia phát triển thuật toán...
    Làm Giảng viên, Giáo viên, Nghiên cứu viên, hoặc Chuyên viên kỹ thuật tại các trường đại học, viện nghiên cứu trong lĩnh vực Toán học và Khoa học thông tin."
  Mọi người cho mình hỏi thêm các thông tin về điều kiện CSVC KTX dành cho sinh viên đc k ạ? Mình cảm ơn.,"KTX Mễ Trì có 2 toà nhà 5 tầng và 2 toà nhà 4 tầng nằm trên khuôn viên rộng 26.600 m2, với 270 phòng.
Toàn bộ phòng ở của cả 03 KTX khép kín, điện nước đảm bảo 24/24. Trong phòng ở trang bị đầy đủ các trang thiết bị cần thiết như Giường, tủ, bàn học, giá sách, quạt đảo trần và trang bị thêm bình nước nóng, điều hoà nhiệt độ. Có đầy đủ các dịch vụ tiện ích, đáp ứng tối đa nhu cầu sinh hoạt và học tập của HSSV nội trú: Thư viện và các phòng tự học; wifi miễn phí phủ khắp khuôn viên, phòng máy tính kết nối internet; Sân tập thể thao đa năng; Phòng tập Gym; Hệ thống máy giặt công cộng; Nhà ăn, cửa hàng fastfood; Quán café… nằm trong khuôn viên các KTX."",
Lệ phí nhà ở: các KTX có nhiều loại phòng ở từ 2- 10 người/1 phòng, giá phòng ở từ 140.000đ - 215.000đ/ 1 tháng (giá trên chưa gồm dịch vụ gia tăng theo nhu cầu sinh viên"
"Có bạn nào được gửi email thông báo đủ đk trúng tuyển chưa ạ, mình đủ điểm mà chưa có email nên lo quá 😥","""Kịch bản 1: Chưa có thông tin
Hiện tại tôi chưa tìm ra thông tin nào về email thông báo đủ điều kiện trúng tuyển, bạn có thể tham khảo thông tin từ các website của trường như hus.vnu.edu.vn, tuyensinh.hus.vnu.edu.vn,... Hoặc liên hệ Điện thoại: (84) 0243-8584615 / 8581419
Fax: (84) 0243-8523061
Email: hus@vnu.edu.vn - admin@hus.edu.vn
để nhận được tư vấn trực tiếp

Kịch bản 2: Đã có thông tin
Nhà trường đã gửi email thông báo trúng tuyển tới các thí sinh vào HH:mm ngày dd/mm/yyyy. "
Anh chị cho em hỏi khi nộp hồ sơ vào trường thì cần những giấy tờ j ạ !!!,"Theo Điều 17, Khoản 1, Quyết định 1328/QĐ-ĐHQGHN ngày 18/04/2023, Trường ĐHKHTN sẽ gửi Giấy báo trúng tuyển cho thí sinh, trong đó ""ghi rõ những thủ tục cần thiết đối với thí sinh khi nhập học"". Do đó bạn cần kiểm tra lại các thông báo của nhà trường, đặc biệt là email. 
Bạn có thể tham khảo danh mục những giấy tờ cần nộp trực tiếp theo yêu cầu của nhà trường năm 2024 như sau: 
Căn cước công dân: 02 bản photocopy có công chứng (có đầy đủ 2 mặt) và mang theo bản chính để kiểm tra.
Bản chính Giấy báo kết quả thi của kì thi tốt nghiệp THPT năm 2024 (nếu có).
Bản chính Giấy chứng nhận tốt nghiệp tạm thời (đối với thí sinh tốt nghiệp năm 2024) hoặc 01 bản photocopy có công chứng Bằng tốt nghiệp THPT hoặc tương đương (đối với thí sinh tốt nghiệp trước năm 2024) và mang theo bản chính để kiểm tra.
Học bạ THPT hoặc tương đương: 01 bản photocopy có công chứng (hoặc xác nhận của trường nơi tốt nghiệp) và mang theo bản chính để kiểm tra.
Giấy khai sinh: 01 bản sao y bản chính hoặc 01 bản photocopy có công chứng.
Bản photocopy thẻ bảo hiểm y tế của thí sinh trúng tuyển.
Bản sơ yếu lý lịch (theo mẫu của trường, link tải có trong tài liệu bạn gửi), có dán ảnh đóng dấu giáp lai và chứng nhận của chính quyền địa phương hoặc thủ trưởng cơ quan nơi bố (hoặc mẹ) công tác.
Giấy chứng nhận được hưởng chế độ ưu tiên theo đối tượng, chính sách xã hội (nếu có).
Lý lịch và giấy chuyển sinh hoạt Đảng, Đoàn (nếu có, thu khi học chính thức).
Giấy chuyển đăng ký nghĩa vụ quân sự (đối với nam, trong độ tuổi nghĩa vụ quân sự).
01 ảnh 3x4, chụp không quá 1 năm tính đến thời điểm nhập học (mặt sau ghi rõ họ tên, ngày tháng năm sinh, nơi sinh, ngành học)."
Anh chị cho em hỏi hồ sơ nộp vào trường có cần thẻ BHYT không ạ,"Theo tài liệu hướng dẫn nhập của trường năm 2024, trong hồ sơ nhập học cần có thẻ BHYT, nếu chưa tìm thấy, bạn có thể bổ sung sau. Tuy nhiên, yêu cầu của nhà trường có thể thay đổi theo từng năm, kiểm tra kĩ email hướng dẫn nhập học nhé."
anh chị cho e hỏi e đc 25.65 thì đỗ đc ngành toán tin ko ạ,"Kịch bản 1: Chưa biết điểm chuẩn

Chúng ta sẽ dựa vào điểm chuẩn thực tế đã được công bố cho ngành Toán tin (mã ngành QHT02) trong các năm gần nhất từ tài liệu bạn cung cấp:

Năm 2023 (Nguồn: Điểm chuẩn 2023.txt):
Ngành Toán tin (QHT02) xét tuyển theo điểm thi THPT (tổ hợp A00; A01; D07; D08) có điểm chuẩn là 34.25 điểm (Toán nhân hệ số 2, thang điểm 40).   
Năm 2024 (Nguồn: Điểm chuẩn 2024.txt):
Ngành Toán tin (QHT02) xét tuyển theo phương thức Điểm thi THPT (tổ hợp A00; A01; D07; D08) có điểm chuẩn là 34 điểm (Toán nhân 2, thang điểm 40).   
Phân tích điểm của bạn (25.65):

Ngành Toán tin tại Trường Đại học Khoa học Tự nhiên (theo thông tin từ file điểm chuẩn) xét tuyển môn Toán nhân hệ số 2, và điểm chuẩn được tính trên thang điểm 40.   
Nếu điểm 25.65 của bạn là tổng điểm 3 môn trên thang điểm 30 (chưa nhân hệ số môn Toán), thì điểm này thấp hơn đáng kể so với mức điểm chuẩn 34.25 (năm 2023) và 34 (năm 2024) của ngành Toán tin.
Để so sánh chính xác, bạn cần tính điểm của mình theo công thức: (Điểm Toán * 2 + Điểm môn 2 + Điểm môn 3) + điểm ưu tiên (nếu có). Nếu sau khi tính theo công thức này, điểm của bạn (trên thang 40) vẫn là 25.65, thì điểm này vẫn thấp hơn so với điểm chuẩn các năm trước.
Kết luận cho Kịch bản 1: Dựa trên điểm chuẩn của năm 2023 và 2024, mức điểm 25.65 (nếu được hiểu là trên thang điểm 40 sau khi đã nhân hệ số Toán) là chưa đủ để đỗ vào ngành Toán tin theo phương thức xét điểm thi THPT.

Kịch bản 2: Đã biết điểm chuẩn ) ĐÃ ĐƯỢC CÔNG BỐ và điểm đó là XX

Trong trường hợp này, khi nhà trường đã chính thức công bố điểm chuẩn cho năm bạn xét tuyển:

Giả sử điểm chuẩn chính thức được công bố cho ngành Toán tin (theo phương thức và cách tính điểm mà bạn quan tâm) là XX điểm.
Khi đó, bạn sẽ so sánh điểm của mình (sau khi đã tính đúng theo cách tính của ngành, ví dụ đã nhân hệ số Toán và quy về đúng thang điểm) với điểm chuẩn XX này.
Nếu điểm của bạn (đã quy đổi đúng) ≥ XX điểm, thì bạn đủ điều kiện trúng tuyển.
Nếu điểm của bạn (đã quy đổi đúng) < XX điểm, thì bạn không đủ điều kiện trúng tuyển."
"Em chào anh chị ạ, em đủ điểm đỗ nv2 nhưng không đủ nv1 :( đến bây h em vẫn k nhận được mail, trên web bộ cũng chưa có thì em trượt rồi đúng không ạ?","Việc bạn chưa nhận được thông báo trúng tuyển không nhất thiết có nghĩa là bạn đã trượt. Có một số yếu tố cần xem xét, bao gồm quy trình kỹ thuật hoặc cách hiểu về quy chế tuyển sinh.

Trước hết, chúng ta cần làm rõ về nguyên tắc xét tuyển nguyện vọng của Bộ Giáo dục và Đào tạo:

    Hệ thống của Bộ GD&ĐT được thiết kế để mỗi thí sinh chỉ trúng tuyển vào một nguyện vọng có ưu tiên cao nhất trong số tất cả các nguyện vọng mà bạn đủ điều kiện.
    Điều này có nghĩa là, nếu bạn không đủ điều kiện cho Nguyện vọng 1 (NV1), hệ thống sẽ tự động xem xét đến Nguyện vọng 2 (NV2). Nếu điểm của bạn đáp ứng điều kiện trúng tuyển của NV2, và NV2 là nguyện vọng cao nhất mà bạn đủ điều kiện, thì theo nguyên tắc, bạn sẽ được hệ thống ghi nhận trúng tuyển vào NV2 đó. 

Thứ hai, về khả năng có lỗi kỹ thuật hoặc các yếu tố khác:

    Đôi khi có thể xảy ra sự chậm trễ trong việc cập nhật dữ liệu trên hệ thống chung hoặc trong quá trình trường gửi thông báo.
    Trong tình huống này, để nhận được thông tin chính xác và sự hỗ trợ kịp thời nhất, bạn nên chủ động liên hệ trực tiếp với Phòng Đào tạo của Trường Đại học Khoa học Tự nhiên. Các cán bộ tuyển sinh của trường sẽ có thể kiểm tra thông tin cụ thể liên quan đến hồ sơ của bạn và cung cấp câu trả lời rõ ràng.
        Thông tin liên hệ của trường: Hotline: 0886074527; Điện thoại: 024 38585279."
Dạ em chào anh chị và các bạn. Em đang tìm hiểu ngành ngành khoa học máy tính và thông tin liệu anh chị có thể review em ngành này về chương trình học và cơ hội làm việc ạ được không ạ? Em xin cảm ơn ạ.,"Dựa trên CTĐT chuẩn ngành Khoa học máy tính và thông tin (KHMT&TT) ban hành kèm Quyết định 3568/QĐ-ĐHKHTN ngày 18/10/2023:

    Chương trình học (Phần III): Chương trình gồm 129 tín chỉ (chưa tính GDTC, GDQP, Kỹ năng bổ trợ), cung cấp kiến thức liên ngành Khoa học máy tính và Khoa học tính toán. Các môn học cốt lõi bao gồm Toán học cho máy tính (Đại số tuyến tính, Giải tích, Xác suất-Thống kê, Toán rời rạc, Tối ưu hóa), các môn cơ sở ngành Tin học (Lập trình cơ bản, Lập trình hướng đối tượng, Cấu trúc dữ liệu & Thuật toán, Cơ sở dữ liệu, Nguyên lý Hệ điều hành, Kiến trúc máy tính, Mạng máy tính) và các môn chuyên ngành (Công nghệ phần mềm, An toàn máy tính, Nhập môn Trí tuệ nhân tạo, Học máy...). Có các học phần tự chọn về kỹ năng phần mềm, AI, phát triển phần mềm và một số học phần được giảng dạy bằng Tiếng Anh.
    Cơ hội việc làm (Mục 4): Sinh viên tốt nghiệp có thể làm Chuyên gia kỹ thuật, Tư vấn, Quản lý, Phân tích, Thiết kế, Lập trình viên tại các doanh nghiệp, cơ quan nhà nước; Nghiên cứu viên tại các viện, trung tâm R&D (đặc biệt về AI và xử lý thông tin); Giảng viên tại các trường đại học, cao đẳng..."
"2. Máy tính và khoa học thông tin, các bạn sinh viên sẽ được học về những nội dung ntn? Theo mình tìm hiểu trường đào tạo 4 năm, bằng Cử nhân, k biết thông tin này có đúng không?","Theo CTĐT chuẩn ngành KHMT&TT (Quyết định 3568/QĐ-ĐHKHTN ngày 18/10/2023, Phần III), sinh viên sẽ học các kiến thức nền tảng và chuyên sâu về: Toán cho máy tính (Đại số tuyến tính, Giải tích, Xác suất-Thống kê, Toán rời rạc...), Lập trình (Cơ bản, Hướng đối tượng), Cấu trúc dữ liệu và Thuật toán, Hệ điều hành, Cơ sở dữ liệu, Kiến trúc máy tính, Mạng máy tính, Công nghệ phần mềm, An toàn máy tính, Trí tuệ nhân tạo, Học máy, và các môn tự chọn khác liên quan đến xử lý thông tin, phát triển phần mềm, AI...
Thời gian đào tạo và văn bằng: Thông tin bạn tìm hiểu là đúng. Theo Mục 1, Phần I, CTĐT chuẩn ngành KHMT&TT (Quyết định 3568/QĐ-ĐHKHTN ngày 18/10/2023), thời gian đào tạo chuẩn là 4 năm và danh hiệu tốt nghiệp là Cử nhân (Tên văn bằng: Cử nhân ngành Khoa học máy tính và thông tin)."
" 3. KTX của trường cơ sở vật chất hiện nay như thế nào ạ, nhà ở, căn tin ...?","KTX Mễ Trì có 2 toà nhà 5 tầng và 2 toà nhà 4 tầng nằm trên khuôn viên rộng 26.600 m2, với 270 phòng.
Toàn bộ phòng ở của cả 03 KTX khép kín, điện nước đảm bảo 24/24. Trong phòng ở trang bị đầy đủ các trang thiết bị cần thiết như Giường, tủ, bàn học, giá sách, quạt đảo trần và trang bị thêm bình nước nóng, điều hoà nhiệt độ. Có đầy đủ các dịch vụ tiện ích, đáp ứng tối đa nhu cầu sinh hoạt và học tập của HSSV nội trú: Thư viện và các phòng tự học; wifi miễn phí phủ khắp khuôn viên, phòng máy tính kết nối internet; Sân tập thể thao đa năng; Phòng tập Gym; Hệ thống máy giặt công cộng; Nhà ăn, cửa hàng fastfood; Quán café… nằm trong khuôn viên các KTX."""",
Lệ phí nhà ở: các KTX có nhiều loại phòng ở từ 2- 10 người/1 phòng, giá phòng ở từ 140.000đ - 215.000đ/ 1 tháng (giá trên chưa gồm dịch vụ gia tăng theo nhu cầu sinh viên."
đối với các bạn năm 1 khi theo học ngành Máy tính và khoa học thông tin đã cần thiết trang bị laptop cá nhân chưa.  Mình xin cảm ơn đội ngũ admin và các bạn sinh viên.,"Bạn nên trang bị laptop cá nhân. Mặc dù nhà trường có hệ thống máy tính tại các phòng thực hành và thư viện, tuy nhiên, để đảm bảo sự linh hoạt, tiện lợi và hiệu quả tối đa cho việc học tập và nghiên cứu, laptop cá nhân vẫn là một công cụ vô cùng cần thiết."
:( anh chị cho em hỏi. Chiều nay lúc 6h em vào check trang của bộ giáo dục thì thấy nv utxt theo trường khtn đã được lên rằng em đủ điều kiện trúng tuyển. Nhưng h em vào lại thì ko thấy nữa. v là sao ạ :( em lo lắng quá,"Tình huống kết quả hiển thị trên hệ thống của Bộ GD&ĐT thay đổi là một vấn đề kỹ thuật hoặc nghiệp vụ của hệ thống đó. Có thể hệ thống đang trong quá trình cập nhật, xử lý dữ liệu hoặc có lỗi tạm thời. Bạn nên bình tĩnh và thực hiện các bước sau:
    Theo dõi các thông báo chính thức từ Bộ GD&ĐT hoặc Trường ĐHKHTN về tình trạng hệ thống hoặc thời gian công bố kết quả chính thức.
    Nếu tình trạng kéo dài và bạn chắc chắn mình đã thao tác đúng, bạn có thể liên hệ đường dây nóng hỗ trợ tuyển sinh của Bộ GD&ĐT hoặc Phòng Đào tạo/Tuyển sinh Trường ĐHKHTN để hỏi thông tin và được hỗ trợ kiểm tra, thông qua: 
    - Hotline: 0886074527
    - Điện thoại: 024 38585279
    - E-mail: tuvantuyensinh@hus.edu.vn"
Anh chị cho em hỏi học khoa học dữ liệu ra có làm lập trình viên được không ạ,"Có thể. Theo CTĐT chuẩn ngành Khoa học dữ liệu (KHDL) ban hành kèm Quyết định 3569/QĐ-ĐHKHTN ngày 18/10/2023:

    Mục 4, Phần II (Vị trí việc làm) có liệt kê vị trí ""Lập trình viên, Quản trị dự án, Trưởng phòng... tại các doanh nghiệp, trung tâm công nghệ thông tin"" là một trong những công việc mà sinh viên tốt nghiệp có thể đảm nhận.
    Phần III (Khung chương trình đào tạo) cho thấy sinh viên được trang bị các kiến thức và kỹ năng lập trình cần thiết thông qua các học phần như: Lập trình cơ bản (MAT2505), Lập trình hướng đối tượng (MAT1202), Cấu trúc dữ liệu và thuật toán (MAT3514), và các học phần tự chọn như Lập trình cho Khoa học dữ liệu (MAT3382), Tính toán song song (MAT3148). Do đó, chương trình cung cấp nền tảng để sinh viên tốt nghiệp ngành KHDL có thể theo đuổi sự nghiệp lập trình viên, đặc biệt là trong các lĩnh vực liên quan đến xử lý dữ liệu, phát triển ứng dụng AI/ML."
"Chào mng. Mình đã đỗ vào trường bằng điểm đgnl, hqua vào web thì thấy hiện r mà hnay lại k còn nx. Hic h mk phải làm sao ạ. Help mee","Tình trạng thông tin trúng tuyển hiển thị rồi lại biến mất trên website (có thể là web của Trường ĐHKHTN, ĐHQGHN hoặc cổng của Bộ GD&ĐT) là vấn đề liên quan đến kỹ thuật hoặc quá trình cập nhật dữ liệu của hệ thống đó. Các tài liệu bạn cung cấp (Quy chế, Đề án tuyển sinh) không giải quyết các sự cố kỹ thuật cụ thể này. Bạn nên:

    Kiên nhẫn chờ đợi và kiểm tra lại website sau một thời gian vì có thể hệ thống đang được cập nhật hoặc bảo trì.
    Theo dõi các kênh thông báo chính thức của Trường ĐHKHTN và ĐHQGHN xem có thông báo nào về lỗi hệ thống hay lịch cập nhật kết quả không.
    Nếu tình trạng kéo dài hoặc gần đến hạn xác nhận nhập học mà thông tin vẫn không chính xác, hãy liên hệ trực tiếp với Phòng Đào tạo/Bộ phận Tuyển sinh của Trường ĐHKHTN (Hotline: 0886074527, Email: tuvantuyensinh@hus.edu.vn)"
"Em chào anh chị ạ Em là thí sinh năm nay có nguyện vọng vào 2 ngành khoa mình là khoa học dữ liệu và toán tin Em muốn anh chị đã và đang học 2 ngành này có thể review cho e về chương trình đào tạo, việc làm ","1. Ngành Khoa học dữ liệu (Mã ngành: 7460108)

    Chương trình đào tạo:
        Mục tiêu chung: Đào tạo nguồn nhân lực có tính cạnh tranh cao, có nền tảng kiến thức dựa trên 3 lĩnh vực: khoa học máy tính, thống kê và toán học nhằm phân tích và xử lý các tập dữ liệu lớn và phức tạp. (Trích từ Mục 2.1, PHẦN I, Chương trình đào tạo ngành Khoa học dữ liệu ban hành theo Quyết định số 3569/QĐ-ĐHKHTN ngày 18/10/2023)
        Kiến thức: Sinh viên được trang bị kiến thức chung về khoa học xã hội, chính trị, pháp luật; kiến thức về lập trình máy tính, quản trị cơ sở dữ liệu, các mô hình học máy, phương pháp phân tích thống kê, mô hình hóa và tính toán trong khoa học dữ liệu, đánh giá và diễn giải dữ liệu. (Trích từ Mục 2.2, PHẦN I, Chương trình đào tạo ngành Khoa học dữ liệu ban hành theo Quyết định số 3569/QĐ-ĐHKHTN)
        Kỹ năng: Kỹ năng thực hành nghề nghiệp, thích ứng với môi trường làm việc; nắm bắt, ứng dụng các thành tựu khoa học tiên tiến; tiếng Anh chuyên môn (tối thiểu bậc 3/6). (Trích từ Mục 2.2, PHẦN I, Chương trình đào tạo ngành Khoa học dữ liệu ban hành theo Quyết định số 3569/QĐ-ĐHKHTN)
        Tổng số tín chỉ: 127 tín chỉ (chưa tính Giáo dục thể chất, Giáo dục quốc phòng - an ninh, kỹ năng bổ trợ). (Trích từ Mục 1, PHẦN III, Chương trình đào tạo ngành Khoa học dữ liệu ban hành theo Quyết định số 3569/QĐ-ĐHKHTN)

    Cơ hội việc làm:
        Nhà quản lý dữ liệu, chuyên gia phân tích dữ liệu, chuyên gia dữ liệu lớn, chuyên gia tư vấn tại các doanh nghiệp.
        Lập trình viên, Quản trị dự án, Trưởng phòng tại các doanh nghiệp, trung tâm công nghệ thông tin.
        Nghiên cứu viên tại các trung tâm nghiên cứu và phát triển (R&D) trong lĩnh vực khoa học dữ liệu.
        Giảng viên, nghiên cứu viên, chuyên viên kỹ thuật tại các trường, viện. (Trích từ Mục 4, PHẦN II, Chương trình đào tạo ngành Khoa học dữ liệu ban hành theo Quyết định số 3569/QĐ-ĐHKHTN)

    Khả năng học tập nâng cao: Có thể học tiếp Thạc sĩ, Tiến sĩ các chuyên ngành Khoa học dữ liệu, Trí tuệ nhân tạo, Khoa học máy tính và thông tin. (Trích từ Mục 5, PHẦN II, Chương trình đào tạo ngành Khoa học dữ liệu ban hành theo Quyết định số 3569/QĐ-ĐHKHTN)

2. Ngành Toán tin (Mã ngành: 7460117)

    Chương trình đào tạo:
        Mục tiêu chung: Trang bị kiến thức vững chắc về Toán ứng dụng và Tin học. (Trích từ Mục 2.1, PHẦN I, Chương trình đào tạo ngành Toán tin ban hành theo Quyết định số 3567/QĐ-ĐHKHTN ngày 18/10/2023)
        Kiến thức cụ thể: Kiến thức vững chắc về Toán ứng dụng và Tin học. (Trích từ Mục 2.2, PHẦN I, Chương trình đào tạo ngành Toán tin ban hành theo Quyết định số 3567/QĐ-ĐHKHTN)
        Kỹ năng: Phát hiện, đánh giá, phân tích và đề xuất giải pháp giải quyết vấn đề bằng kiến thức Toán ứng dụng, Khoa học máy tính và Khoa học thông tin; kỹ năng nghề nghiệp thành thục, tư duy phản biện, sáng tạo, làm việc nhóm, giao tiếp và sử dụng tiếng Anh hiệu quả (chuẩn bậc 3/6). (Trích từ Mục 2.2, PHẦN I, Chương trình đào tạo ngành Toán tin ban hành theo Quyết định số 3567/QĐ-ĐHKHTN)
        Tổng số tín chỉ: 132 tín chỉ (chưa tính Giáo dục thể chất, Giáo dục quốc phòng - an ninh và Kỹ năng bổ trợ). (Trích từ Mục 1, PHẦN III, Chương trình đào tạo ngành Toán tin ban hành theo Quyết định số 3567/QĐ-ĐHKHTN)

    Cơ hội việc làm:
        Nghiên cứu chuyên sâu về Toán ứng dụng: Trong các lĩnh vực mật mã, an toàn thông tin, thống kê, phân tích dữ liệu, quản trị rủi ro, tính toán khoa học, vận trù học.
        Công việc chuyên sâu về Tin học: Xây dựng công cụ và chương trình máy tính, quản trị và thiết kế cơ sở dữ liệu, phát triển mô hình trong khoa học dữ liệu và trí tuệ nhân tạo.
        Vị trí liên ngành Toán ứng dụng và Tin học.
        Cụ thể: Lập trình viên, chuyên gia phân tích dữ liệu, chuyên gia thống kê, chuyên gia phát triển thuật toán tại các doanh nghiệp, cơ quan quản lý kinh tế, tài chính.
        Giảng viên, giáo viên, nghiên cứu viên, chuyên viên kỹ thuật tại các trường, viện trong lĩnh vực Toán học và Khoa học thông tin. (Trích từ Mục 2.1, PHẦN I và Mục 4, PHẦN II, Chương trình đào tạo ngành Toán tin ban hành theo Quyết định số 3567/QĐ-ĐHKHTN)

    Khả năng học tập nâng cao: Có khả năng theo học sau đại học tại Khoa hoặc các trường đại học khác trong và ngoài nước. (Trích từ Mục 5, PHẦN II, Chương trình đào tạo ngành Toán tin ban hành theo Quyết định số 3567/QĐ-ĐHKHTN)"
2. Khoá học quân sự ở trường mình sẽ đi trong bao lâu và khi nào thì đi ạ Em xin cảm ơn,"Chương trình Giáo dục Quốc phòng và An ninh (GDQP-AN) thường bao gồm thời gian học tập trung cho nội dung GDQP-AN và có thể kèm theo các học phần Thể chất. Lịch trình cụ thể, bao gồm thời gian bắt đầu, kết thúc, tổng thời lượng, và địa điểm tổ chức, đều do Nhà trường quy định và thường xuyên được cập nhật, điều chỉnh cho phù hợp với từng năm học.

    Ví dụ, năm 2025: Chương trình kéo dài khoảng 6 tuần (bao gồm GDQP-AN và Thể chất), diễn ra vào kỳ hè tại Trung tâm Giáo dục Quốc phòng và An ninh, ĐHQGHN, Hòa Lạc. Chương trình bắt đầu từ ngày 23/06/2025 và kết thúc vào ngày 03/08/2025."
